virtual_medical_product_code,trade_family_code
14986011000001103,10100601000001108
14986011000001103,10100601000001108
38754011000001109,10100701000001103
38752511000001106,10100801000001107
38750411000001106,10100901000001101
38750311000001104,10100901000001101
38750411000001106,10101001000001105
38750311000001104,10101001000001105
17484011000001100,10101101000001106
33749811000001102,10101101000001106
15125511000001103,10101101000001106
30920411000001100,10101101000001106
15124811000001101,10101201000001104
15124811000001101,10101201000001104
15124811000001101,10101201000001104
15124811000001101,10101201000001104
15124811000001101,10101201000001104
15124811000001101,10101201000001104
15124811000001101,10101201000001104
15124811000001101,10101201000001104
15130011000001102,10101301000001108
15130811000001108,10101301000001108
15130411000001106,10101301000001108
15145411000001100,10101401000001100
15145311000001107,10101401000001100
15568111000001100,10101401000001100
15145611000001102,10101401000001100
15226311000001101,10101501000001101
15242811000001107,10101601000001102
15242811000001107,10101601000001102
15242511000001109,10101701000001107
3559511000001102,10101801000001103
3559611000001103,10101801000001103
36119911000001103,10101901000001109
36120211000001106,10101901000001109
9752311000001101,10101901000001109
36120311000001103,10101901000001109
36120011000001101,10101901000001109
38896211000001104,10102001000001101
15096911000001101,10102201000001107
15098111000001100,10102301000001103
15098511000001109,10102301000001103
15099311000001109,10102401000001106
15098911000001102,10102401000001106
15099811000001100,10102401000001106
15115311000001100,10102501000001105
15121111000001105,10102601000001109
32500211000001107,10102601000001109
15214511000001107,10102701000001104
15776211000001103,10102701000001104
39702911000001108,10102901000001102
39702811000001103,10102901000001102
39702811000001103,10102901000001102
39702811000001103,10102901000001102
39702911000001108,10102901000001102
39702911000001108,10102901000001102
39702811000001103,10102901000001102
39702811000001103,10102901000001102
39702811000001103,10102901000001102
36120311000001103,10103001000001106
9752311000001101,10103001000001106
36119911000001103,10103001000001106
36120011000001101,10103001000001106
36120211000001106,10103001000001106
36566411000001105,10103101000001107
15364711000001109,10103201000001100
15364711000001109,10103201000001100
15364711000001109,10103201000001100
15364711000001109,10103201000001100
320726008,10103301000001109
8029711000001107,10103501000001102
3775911000001109,10103601000001103
4623311000001100,10103901000001105
3549811000001101,10104101000001109
7525511000001105,10104201000001102
325648008,10104401000001103
325648008,10104401000001103
14062911000001108,10104501000001104
329967002,10104501000001104
34160711000001102,10104601000001100
36050411000001102,10104701000001105
13174211000001107,10104901000001107
15410711000001107,10105101000001108
4515611000001109,10105201000001101
39701211000001106,10105501000001103
38003311000001102,10105601000001104
15439111000001107,10105601000001104
18765111000001101,10105601000001104
14984911000001107,10105601000001104
15439111000001107,10105601000001104
14985011000001107,10105601000001104
14984911000001107,10105601000001104
14985011000001107,10105601000001104
18765111000001101,10105601000001104
15439111000001107,10105601000001104
15438111000001100,10105701000001109
15438111000001100,10105701000001109
15438111000001100,10105701000001109
15438111000001100,10105701000001109
39716611000001104,10105801000001100
15437211000001107,10105901000001106
38750411000001106,10106001000001102
38750311000001104,10106001000001102
3550011000001102,10106101000001101
15424011000001108,10106301000001104
15432411000001108,10106501000001106
39020711000001100,10106601000001105
15438611000001108,10106701000001100
15438611000001108,10106701000001100
15438611000001108,10106701000001100
15438611000001108,10106701000001100
15452711000001101,10106901000001103
39024311000001107,10107101000001103
15473511000001102,10107201000001105
15473511000001102,10107201000001105
15473511000001102,10107201000001105
15473511000001102,10107201000001105
15473511000001102,10107201000001105
15473511000001102,10107201000001105
15473511000001102,10107201000001105
15473511000001102,10107201000001105
15507511000001109,10107301000001101
15474011000001107,10107301000001101
15474111000001108,10107401000001109
15473911000001109,10107501000001108
15499611000001108,10107601000001107
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499211000001106,10107701000001102
15499111000001100,10107901000001100
15499111000001100,10107901000001100
15499111000001100,10107901000001100
15499111000001100,10107901000001100
15499111000001100,10107901000001100
15518411000001106,10108001000001103
15518411000001106,10108001000001103
15518411000001106,10108001000001103
34586011000001106,10108001000001103
329838002,10108101000001102
15520611000001101,10108301000001100
15520211000001103,10108301000001100
20595011000001102,10108401000001108
22778011000001108,10108401000001108
20595111000001101,10108401000001108
15503811000001101,10108501000001107
15519711000001109,10108601000001106
15519311000001105,10108601000001106
15521511000001107,10108701000001101
15521911000001100,10108701000001101
15534911000001100,10108801000001105
15534911000001100,10108801000001105
23270111000001107,10108901000001104
15611311000001101,10108901000001104
15611711000001102,10109001000001109
15611511000001107,10109101000001105
10901011000001109,10109201000001103
10901211000001104,10109201000001103
10901111000001105,10109201000001103
4255811000001109,10109401000001104
426638000,10109501000001100
19822011000001104,10109501000001100
426638000,10109501000001100
39020711000001100,10109601000001101
330814003,10109701000001106
36150711000001100,10109801000001102
15613111000001102,10110001000001102
15612611000001100,10110101000001101
15633211000001101,10110201000001108
15612711000001109,10110301000001104
15612911000001106,10110401000001107
15613311000001100,10110501000001106
15613011000001103,10110601000001105
15613511000001106,10110701000001100
15537111000001108,10110801000001109
15537111000001108,10110801000001109
15613411000001107,10110901000001103
15613211000001108,10111001000001107
15632311000001104,10111101000001108
15612811000001101,10111201000001101
330202001,10111401000001102
330202001,10111401000001102
21862011000001103,10111601000001104
14743811000001104,10111601000001104
15651211000001104,10111901000001106
15651311000001107,10112001000001103
429678006,10112101000001102
429503009,10112101000001102
429502004,10112101000001102
429502004,10112101000001102
15773811000001106,10112201000001109
36564611000001104,10112301000001100
36564611000001104,10112301000001100
37280311000001109,10241000001107
37280511000001103,10241000001107
326814002,10251000001105
34632811000001101,10251000001105
37293111000001101,10261000001108
37405911000001104,10271000001103
37405911000001104,10271000001103
37406011000001107,10271000001103
37406011000001107,10271000001103
4367811000001102,10281000001101
37454911000001105,10291000001104
37454811000001100,10291000001104
37454711000001108,10291000001104
37454211000001101,10331000001109
15859111000001102,10363201000001107
15859111000001102,10363201000001107
15859111000001102,10363201000001107
15859111000001102,10363201000001107
15859111000001102,10363201000001107
15859211000001108,10363301000001103
15914911000001101,10364201000001105
322815004,10364301000001101
34840511000001108,10364401000001109
15987111000001107,10364401000001109
36775711000001103,10364501000001108
442918005,10364501000001108
442789004,10364501000001108
3591211000001105,10364601000001107
428011001,10364801000001106
428011001,10364801000001106
428011001,10364801000001106
428011001,10364801000001106
428011001,10364801000001106
428011001,10364801000001106
39689111000001106,10365001000001100
15915911000001102,10365101000001104
704471008,10365101000001104
15915911000001102,10365101000001104
15915911000001102,10365101000001104
4009511000001107,10365201000001106
9445811000001107,10365301000001102
407101003,10365401000001105
407101003,10365401000001105
327337009,10365501000001109
19744011000001106,10365601000001108
441953000,10365601000001108
441726005,10365601000001108
441953000,10365601000001108
441726005,10365601000001108
4792711000001107,10365701000001103
